Gateway 0 Arrival Rate	Pure Cloud Average Effective Arrival rate of 0	Next Hop Average Effective Arrival rate of 0	Probabilistic DF Average Effective Arrival rate of 0	Pure Cloud Average Effective Arrival rate of 1	Next Hop Average Effective Arrival rate of 1	Probabilistic DF Average Effective Arrival rate of 1	Pure Cloud Average Effective Arrival rate of 2	Next Hop Average Effective Arrival rate of 2	Probabilistic DF Average Effective Arrival rate of 2	Pure Cloud Average Effective Arrival rate of Cloud	Next Hop Average Effective Arrival rate of Cloud	Probabilistic DF Average Effective Arrival rate of Cloud
2000.0	0.0	406.5	405.3333333333333	0.0	199.5	418.3333333333333	0.0	403.5	1097.5	2574.5	1543.5	177.33333333333334
2050.0	0.0	404.6666666666667	413.5	0.0	202.66666666666666	394.0	0.0	397.5	1106.3333333333333	2613.1666666666665	1590.1666666666667	178.83333333333334
2100.0	0.0	408.5	419.3333333333333	0.0	193.16666666666666	398.6666666666667	0.0	400.3333333333333	1118.0	2635.1666666666665	1677.1666666666667	179.0
2150.0	0.0	420.6666666666667	419.3333333333333	0.0	208.0	415.5	0.0	394.1666666666667	1150.5	2663.8333333333335	1680.6666666666667	199.83333333333334
2200.0	0.0	405.3333333333333	401.1666666666667	0.0	209.83333333333334	394.8333333333333	0.0	403.5	1208.3333333333333	2745.1666666666665	1721.5	194.83333333333334
2250.0	0.0	391.6666666666667	413.5	0.0	198.16666666666666	413.5	0.0	400.8333333333333	1220.5	2812.3333333333335	1823.0	207.83333333333334
2300.0	0.0	399.8333333333333	397.3333333333333	0.0	211.0	403.8333333333333	0.0	386.5	1235.8333333333333	2858.3333333333335	1840.5	200.66666666666666
2350.0	0.0	415.0	402.5	0.0	206.5	405.3333333333333	0.0	403.1666666666667	1243.5	2872.0	1885.6666666666667	208.33333333333334
2400.0	0.0	415.5	407.3333333333333	0.0	199.16666666666666	406.3333333333333	0.0	397.8333333333333	1259.1666666666667	2927.8333333333335	1943.0	223.33333333333334
2450.0	0.0	417.8333333333333	409.3333333333333	0.0	195.83333333333334	406.6666666666667	0.0	395.1666666666667	1300.5	2998.3333333333335	1957.8333333333333	212.33333333333334
2500.0	0.0	399.6666666666667	399.6666666666667	0.0	205.66666666666666	403.0	0.0	393.6666666666667	1317.5	3046.8333333333335	2043.1666666666667	221.33333333333334
2550.0	0.0	399.1666666666667	401.6666666666667	0.0	206.0	404.5	0.0	393.1666666666667	1332.1666666666667	3087.5	2112.8333333333335	231.83333333333334
2600.0	0.0	419.0	397.8333333333333	0.0	195.83333333333334	417.3333333333333	0.0	388.1666666666667	1349.0	3129.6666666666665	2120.8333333333335	241.16666666666666
2650.0	0.0	411.1666666666667	411.1666666666667	0.0	205.5	416.1666666666667	0.0	390.8333333333333	1367.3333333333333	3169.3333333333335	2168.5	252.5
2700.0	0.0	412.3333333333333	421.6666666666667	0.0	199.0	418.3333333333333	0.0	391.6666666666667	1397.5	3230.3333333333335	2237.1666666666665	248.5
