Gateway 0 Arrival Rate	Analytical Buffer Occupancy of 0	Simulation Buffer Occupancy of 0	Analytical Buffer Occupancy of 1	Simulation Buffer Occupancy of 1	Analytical Buffer Occupancy of 2	Simulation Buffer Occupancy of 2	Analytical Buffer Occupancy of Cloud	Simulation Buffer Occupancy of Cloud
4850.0	19.91011235955056	19.903412	19.770574842623315	19.952524500000003	38.00450998784058	39.707605	0.5047059819269145	0.4811065
4900.0	19.91111111111111	19.902253	19.773412815485646	19.9473925	38.058958508788045	39.693025	0.5103768356564307	0.481578
4950.0	19.912087912087912	19.903173	19.776181435197014	19.949918500000003	38.11051492952753	39.692288999999995	0.5160476893859464	0.4943185
5000.0	19.91304347826087	19.908186999999998	19.778883213302763	19.953304000000003	38.159403632326594	39.730109	0.5217185431154625	0.49896700000000005
1800.0	19.71428571428678	19.622415	19.02780248254843	19.66344	3.198273759559667	3.16029	0.1587839044264534	0.15287
1850.0	19.724137931035095	19.646414999999998	19.076797389592926	19.777965000000002	3.33262336433705	3.02608	0.16445475815596594	0.16345500000000002
1900.0	19.73333333333369	19.688685	19.121092076809834	19.69292	3.476471922439621	3.402655	0.1701256118854798	0.17030499999999998
1950.0	19.74193548387118	19.68131	19.161331552869864	19.729550000000003	3.6311496752850747	3.530745	0.17579646561499454	0.178315
2000.0	19.750000000000124	19.68104	19.19804810759276	19.639780000000002	3.7982321834670607	3.74726	0.18146731934450971	0.18285
2050.0	19.757575757575832	19.70116	19.231684854330155	19.74316	3.9795983861633206	4.184545	0.18713817307402514	0.19169999999999998
2100.0	19.764705882352988	19.700315	19.262613626904802	19.720934999999997	4.177504618358908	3.976775	0.1928090268035408	0.180285
Gateway 0 Arrival Rate	Analytical Buffer Occupancy of 0	Simulation Buffer Occupancy of 0	Analytical Buffer Occupancy of 1	Simulation Buffer Occupancy of 1	Analytical Buffer Occupancy of 2	Simulation Buffer Occupancy of 2	Analytical Buffer Occupancy of Cloud	Simulation Buffer Occupancy of Cloud
0.0	0.0	0.0016166666666666666	1.3333201938121755	1.3471333333333335	1.0068027210884352	1.00535	0.0	6.766666666666667E-4
50.0	0.25396825396825395	0.2534533333333333	1.3333201938121755	1.2178666666666667	1.0068027210884352	1.0238166666666668	7.651282405994774E-21	7.399999999999999E-4
100.0	0.5333333333257664	0.53355	1.333320193812705	1.27163	1.006802721088562	0.9992633333333334	1.2378267411661994E-14	6.766666666666667E-4
150.0	0.8727272385351483	0.8266333333333332	1.3333201958131902	1.2704766666666665	1.006802721566932	0.9954133333333334	4.677376941504497E-11	4.0E-4
200.0	1.3333201938121755	1.3319	1.3333208107842303	1.1199199999999998	1.00680286862322	0.9756033333333334	1.4421735979588544E-8	1.7666666666666666E-4
250.0	2.0499702257750676	2.2968033333333335	1.3333665075691952	1.2666699999999997	1.0068137957757246	1.0004533333333332	1.0825658663488608E-6	6.033333333333334E-4
300.0	3.3725021421624777	4.176336666666667	1.3346433487004812	1.3272233333333334	1.007118965838629	0.99243	3.091284796672875E-5	5.566666666666667E-4
350.0	6.048727712010354	6.185366666666667	1.3501834641757218	1.2479500000000001	1.0108097062736316	1.0832933333333334	3.9160346148889405E-4	5.233333333333333E-4
400.0	10.243902439024392	9.056623333333333	1.431648160243941	1.3479599999999998	1.0294701727029052	1.03818	0.0022130160895671774	0.00211
450.0	14.013752667330117	14.8868	1.6313579101364761	1.9828466666666664	1.070754148770321	1.1505366666666665	0.006228712482405194	0.010643333333333333
